Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R1_001	pass	0.0	fail	250.992987166	Sanger / Illumina 1.9	fail	pass	warn	220-251	Conventional base calls	pass	fail	66307.0	pass	fail	fail	52.0	2.78703605954	LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R2_001	pass	0.0	fail	250.035757914	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	66307.0	pass	fail	fail	50.0	8.14544467402	LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R1_001	pass	0.0	fail	249.997355515	Sanger / Illumina 1.9	fail	pass	warn	188-251	Conventional base calls	pass	fail	83192.0	pass	fail	fail	52.0	2.23699394173	LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R2_001	pass	0.0	fail	250.035087508	Sanger / Illumina 1.9	fail	pass	warn	246-251	Conventional base calls	pass	fail	83192.0	pass	fail	fail	50.0	6.92254062891	LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R1_001	pass	0.0	fail	250.994748601	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	43417.0	pass	fail	fail	52.0	2.96657991109	LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R2_001	pass	0.0	fail	250.032429693	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	43417.0	pass	fail	fail	50.0	8.62795679112	LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R1_001	pass	0.0	fail	250.992298042	Sanger / Illumina 1.9	fail	pass	warn	224-251	Conventional base calls	pass	fail	62971.0	pass	fail	fail	53.0	2.78699718918	LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R2_001	pass	0.0	fail	250.037572851	Sanger / Illumina 1.9	warn	pass	warn	227-251	Conventional base calls	pass	fail	62971.0	pass	fail	fail	50.0	8.4133966429	LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R1_001	pass	0.0	fail	249.99582794	Sanger / Illumina 1.9	fail	pass	warn	191-251	Conventional base calls	pass	fail	107381.0	pass	fail	fail	52.0	2.00407893389	LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R2_001	pass	0.0	fail	249.996051443	Sanger / Illumina 1.9	warn	pass	warn	191-251	Conventional base calls	pass	fail	107381.0	pass	fail	fail	49.0	6.75072871365	LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R1_001	pass	0.0	fail	249.996051507	Sanger / Illumina 1.9	fail	pass	warn	187-251	Conventional base calls	pass	fail	67874.0	pass	fail	fail	52.0	2.44276158765	LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R2_001	pass	0.0	fail	250.030924949	Sanger / Illumina 1.9	warn	pass	warn	226-251	Conventional base calls	pass	fail	67874.0	pass	fail	fail	49.0	7.37101099095	LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R1_001	pass	0.0	fail	250.993810624	Sanger / Illumina 1.9	fail	pass	warn	220-251	Conventional base calls	pass	fail	64950.0	pass	fail	fail	52.0	2.40954580446	LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R2_001	pass	0.0	fail	250.031639723	Sanger / Illumina 1.9	warn	pass	warn	246-251	Conventional base calls	pass	fail	64950.0	pass	fail	fail	50.0	7.13010007698	LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R1_001	pass	0.0	fail	249.996639024	Sanger / Illumina 1.9	fail	pass	warn	184-251	Conventional base calls	pass	fail	54746.0	pass	fail	fail	52.0	2.9846929456	LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R2_001	pass	0.0	fail	250.034650933	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	54746.0	pass	fail	fail	49.0	8.0846089212	LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R1_001	pass	0.0	fail	250.993206357	Sanger / Illumina 1.9	warn	pass	warn	220-251	Conventional base calls	pass	fail	32972.0	pass	fail	fail	52.0	3.31190100691	LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R2_001	pass	0.0	fail	250.032087832	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	32972.0	pass	fail	fail	50.0	8.59820453718	LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R1_001	pass	0.0	fail	250.994572403	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	57484.0	pass	fail	fail	52.0	2.6824855612	LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R2_001	pass	0.0	fail	250.031782757	Sanger / Illumina 1.9	warn	pass	warn	246-251	Conventional base calls	pass	fail	57484.0	pass	fail	fail	50.0	7.43163315009	LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R1_001	pass	0.0	fail	250.994949324	Sanger / Illumina 1.9	fail	pass	warn	220-251	Conventional base calls	pass	fail	29501.0	pass	fail	fail	53.0	4.33205654046	LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R2_001	pass	0.0	fail	250.030710823	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	29501.0	pass	fail	fail	51.0	9.56916714688	LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R1_001	pass	0.0	fail	250.995038139	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	64895.0	pass	fail	fail	54.0	3.5734648278	LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R2_001	pass	0.0	fail	250.03223669	Sanger / Illumina 1.9	warn	pass	warn	226-251	Conventional base calls	pass	fail	64895.0	pass	fail	fail	52.0	8.55227675476	LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R1_001	pass	0.0	fail	250.994984534	Sanger / Illumina 1.9	warn	pass	warn	226-251	Conventional base calls	pass	fail	69186.0	pass	fail	fail	53.0	3.10033821871	LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R2_001	pass	0.0	fail	250.032217501	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	69186.0	pass	fail	fail	51.0	8.5421906166	LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R1_001	pass	0.0	fail	250.996294845	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	61266.0	pass	fail	fail	53.0	3.64965886462	LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R2_001	pass	0.0	fail	250.030979662	Sanger / Illumina 1.9	fail	pass	warn	247-251	Conventional base calls	pass	fail	61266.0	pass	fail	fail	51.0	8.82871413182	LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R1_001	pass	0.0	fail	250.996194789	Sanger / Illumina 1.9	fail	pass	warn	226-251	Conventional base calls	pass	fail	42836.0	pass	fail	fail	53.0	3.87757960594	LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R2_001	pass	0.0	fail	250.033266411	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	42836.0	pass	fail	fail	51.0	9.39163320571	LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R1_001	pass	0.0	fail	250.996496901	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	48243.0	pass	fail	fail	53.0	3.86377298261	LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R2_001	pass	0.0	fail	250.031631532	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	48243.0	pass	fail	fail	51.0	9.2490102191	LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R1_001	pass	0.0	fail	250.99553519	Sanger / Illumina 1.9	warn	pass	warn	219-251	Conventional base calls	pass	fail	51066.0	pass	fail	fail	53.0	3.57772294677	LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R2_001	pass	0.0	fail	250.032624447	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	51066.0	pass	fail	fail	50.0	8.63392472487	LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R1_001	pass	0.0	fail	250.996072742	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	39977.0	pass	fail	fail	53.0	3.75966180554	LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R2_001	pass	0.0	fail	250.030242389	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	39977.0	pass	fail	fail	50.0	8.81256722616	LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R1_001	pass	0.0	fail	250.995812013	Sanger / Illumina 1.9	warn	pass	warn	147-251	Conventional base calls	pass	fail	59217.0	pass	fail	fail	54.0	3.58343043383	LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R2_001	pass	0.0	fail	250.991286286	Sanger / Illumina 1.9	warn	pass	warn	147-251	Conventional base calls	pass	fail	59217.0	pass	fail	fail	52.0	8.79308306736	LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R1_001	pass	0.0	fail	250.993745985	Sanger / Illumina 1.9	fail	pass	warn	74-251	Conventional base calls	pass	fail	52926.0	pass	fail	fail	53.0	3.86199599441	LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R2_001	pass	0.0	fail	250.029909685	Sanger / Illumina 1.9	warn	pass	warn	241-251	Conventional base calls	pass	fail	52926.0	pass	fail	fail	51.0	8.69326984847	LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-207-LB-112d-CS-16S_S26_L001_R1_001	pass	0.0	fail	250.99510049	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	40004.0	pass	fail	fail	54.0	4.0195980402	LALL-PD-KC2015-207-LB-112d-CS-16S_S26_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-207-LB-112d-CS-16S_S26_L001_R2_001	pass	0.0	fail	250.03119688	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	40004.0	pass	fail	fail	51.0	9.07909209079	LALL-PD-KC2015-207-LB-112d-CS-16S_S26_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R1_001	pass	0.0	fail	250.995000934	Sanger / Illumina 1.9	fail	pass	warn	236-251	Conventional base calls	pass	fail	64212.0	pass	fail	fail	53.0	2.9698498723	LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R2_001	pass	0.0	fail	250.03061733	Sanger / Illumina 1.9	warn	pass	warn	243-251	Conventional base calls	pass	fail	64212.0	pass	fail	fail	51.0	7.96735812621	LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R2_001.fastq.gz	pass	pass
